
Testing with  PPO for 250000 steps
Using cpu device
Wrapping the env in a DummyVecEnv.
----------------------------------
| rollout/           |           |
|    policy_gradient_loss | -0.0427     |
|    value_loss           | 4.05e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 3.07e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 54          |
|    time_elapsed         | 5695        |
|    total_timesteps      | 110592      |
| train/                  |             |
|    approx_kl            | 0.026604157 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.654      |
|    explained_variance   | -0.00216    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.12e+03    |
|    n_updates            | 530         |
|    policy_gradient_loss | -0.0412     |
|    value_loss           | 5.26e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 3.18e+03   |
| time/                   |            |
|    fps                  | 19         |
|    iterations           | 55         |
|    time_elapsed         | 5780       |
|    total_timesteps      | 112640     |
| train/                  |            |
|    approx_kl            | 0.03387919 |
|    clip_fraction        | 0.201      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.654     |
|    explained_variance   | 0.000653   |
|    learning_rate        | 0.0003     |
|    loss                 | 2.12e+03   |
|    n_updates            | 540        |
|    policy_gradient_loss | -0.04      |
|    value_loss           | 5.27e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 3.29e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 56          |
|    time_elapsed         | 5866        |
|    total_timesteps      | 114688      |
| train/                  |             |
|    approx_kl            | 0.029984644 |
|    clip_fraction        | 0.21        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.649      |
|    explained_variance   | 0.00169     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.26e+03    |
|    n_updates            | 550         |
|    policy_gradient_loss | -0.041      |
|    value_loss           | 5.29e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 3.4e+03    |
| time/                   |            |
|    fps                  | 19         |
|    iterations           | 57         |
|    time_elapsed         | 5951       |
|    total_timesteps      | 116736     |
| train/                  |            |
|    approx_kl            | 0.02447118 |
|    clip_fraction        | 0.184      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.622     |
|    explained_variance   | 0.0039     |
|    learning_rate        | 0.0003     |
|    loss                 | 2.63e+03   |
|    n_updates            | 560        |
|    policy_gradient_loss | -0.0414    |
|    value_loss           | 4.77e+03   |
----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1e+03     |
|    ep_rew_mean          | 3.48e+03  |
| time/                   |           |
|    fps                  | 19        |
|    iterations           | 58        |
|    time_elapsed         | 6036      |
|    total_timesteps      | 118784    |
| train/                  |           |
|    approx_kl            | 0.0349431 |
|    clip_fraction        | 0.223     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.635    |
|    explained_variance   | 0.001     |
|    learning_rate        | 0.0003    |
|    loss                 | 2.08e+03  |
|    n_updates            | 570       |
|    policy_gradient_loss | -0.0416   |
|    value_loss           | 5.33e+03  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 3.58e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 59          |
|    time_elapsed         | 6121        |
|    total_timesteps      | 120832      |
| train/                  |             |
|    approx_kl            | 0.039481282 |
|    clip_fraction        | 0.214       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.606      |
|    explained_variance   | -0.00399    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.79e+03    |
|    n_updates            | 580         |
|    policy_gradient_loss | -0.0401     |
|    value_loss           | 4.66e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 3.64e+03   |
| time/                   |            |
|    fps                  | 19         |
|    iterations           | 60         |
|    time_elapsed         | 6207       |
|    total_timesteps      | 122880     |
| train/                  |            |
|    approx_kl            | 0.06726435 |
|    clip_fraction        | 0.317      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.705     |
|    explained_variance   | -0.000701  |
|    learning_rate        | 0.0003     |
|    loss                 | 2.62e+03   |
|    n_updates            | 590        |
|    policy_gradient_loss | -0.0453    |
|    value_loss           | 4.57e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 3.71e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 61          |
|    time_elapsed         | 6293        |
|    total_timesteps      | 124928      |
| train/                  |             |
|    approx_kl            | 0.023559246 |
|    clip_fraction        | 0.188       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.716      |
|    explained_variance   | -0.00552    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.74e+03    |
|    n_updates            | 600         |
|    policy_gradient_loss | -0.0387     |
|    value_loss           | 4.38e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 3.76e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 62          |
|    time_elapsed         | 6379        |
|    total_timesteps      | 126976      |
| train/                  |             |
|    approx_kl            | 0.031285103 |
|    clip_fraction        | 0.193       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.673      |
|    explained_variance   | -0.00143    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.75e+03    |
|    n_updates            | 610         |
|    policy_gradient_loss | -0.0395     |
|    value_loss           | 4.59e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 3.86e+03    |
| time/                   |             |
|    fps                  | 19          |
|    iterations           | 63          |
|    time_elapsed         | 6464        |
|    total_timesteps      | 129024      |
| train/                  |             |
|    approx_kl            | 0.028177861 |
|    clip_fraction        | 0.207       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.692      |
|    explained_variance   | -0.00995    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.36e+03    |
|    n_updates            | 620         |
|    policy_gradient_loss | -0.0405     |
|    value_loss           | 4.76e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 3.93e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 64          |
|    time_elapsed         | 6551        |
|    total_timesteps      | 131072      |
| train/                  |             |
|    approx_kl            | 0.023236256 |
|    clip_fraction        | 0.184       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.648      |
|    explained_variance   | 0.00138     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.82e+03    |
|    n_updates            | 630         |
|    policy_gradient_loss | -0.0393     |
|    value_loss           | 6.64e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.01e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 65          |
|    time_elapsed         | 6638        |
|    total_timesteps      | 133120      |
| train/                  |             |
|    approx_kl            | 0.026598109 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.639      |
|    explained_variance   | 0.0033      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.94e+03    |
|    n_updates            | 640         |
|    policy_gradient_loss | -0.0384     |
|    value_loss           | 5.4e+03     |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 4.06e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 66         |
|    time_elapsed         | 6725       |
|    total_timesteps      | 135168     |
| train/                  |            |
|    approx_kl            | 0.03191406 |
|    clip_fraction        | 0.191      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.598     |
|    explained_variance   | 0.00558    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.93e+03   |
|    n_updates            | 650        |
|    policy_gradient_loss | -0.0391    |
|    value_loss           | 5.44e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 4.12e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 67         |
|    time_elapsed         | 6847       |
|    total_timesteps      | 137216     |
| train/                  |            |
|    approx_kl            | 0.08276793 |
|    clip_fraction        | 0.273      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.584     |
|    explained_variance   | -0.0015    |
|    learning_rate        | 0.0003     |
|    loss                 | 2.03e+03   |
|    n_updates            | 660        |
|    policy_gradient_loss | -0.0227    |
|    value_loss           | 4.85e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.22e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 68          |
|    time_elapsed         | 6935        |
|    total_timesteps      | 139264      |
| train/                  |             |
|    approx_kl            | 0.036334105 |
|    clip_fraction        | 0.2         |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.577      |
|    explained_variance   | -0.00205    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.13e+03    |
|    n_updates            | 670         |
|    policy_gradient_loss | -0.0366     |
|    value_loss           | 3.98e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 4.28e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 69         |
|    time_elapsed         | 7022       |
|    total_timesteps      | 141312     |
| train/                  |            |
|    approx_kl            | 0.02951542 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.581     |
|    explained_variance   | 0.00173    |
|    learning_rate        | 0.0003     |
|    loss                 | 1.73e+03   |
|    n_updates            | 680        |
|    policy_gradient_loss | -0.0407    |
|    value_loss           | 5.89e+03   |
----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 4.33e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 70         |
|    time_elapsed         | 7108       |
|    total_timesteps      | 143360     |
| train/                  |            |
|    approx_kl            | 0.02849697 |
|    clip_fraction        | 0.189      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.578     |
|    explained_variance   | -0.000293  |
|    learning_rate        | 0.0003     |
|    loss                 | 3.2e+03    |
|    n_updates            | 690        |
|    policy_gradient_loss | -0.0377    |
|    value_loss           | 5.87e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.39e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 71          |
|    time_elapsed         | 7194        |
|    total_timesteps      | 145408      |
| train/                  |             |
|    approx_kl            | 0.036681216 |
|    clip_fraction        | 0.222       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.593      |
|    explained_variance   | -2.44e-05   |
|    learning_rate        | 0.0003      |
|    loss                 | 2.76e+03    |
|    n_updates            | 700         |
|    policy_gradient_loss | -0.0358     |
|    value_loss           | 6.02e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.44e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 72          |
|    time_elapsed         | 7281        |
|    total_timesteps      | 147456      |
| train/                  |             |
|    approx_kl            | 0.022085775 |
|    clip_fraction        | 0.174       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.579      |
|    explained_variance   | 0.00129     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.11e+03    |
|    n_updates            | 710         |
|    policy_gradient_loss | -0.0372     |
|    value_loss           | 6.24e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.5e+03     |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 73          |
|    time_elapsed         | 7367        |
|    total_timesteps      | 149504      |
| train/                  |             |
|    approx_kl            | 0.036965825 |
|    clip_fraction        | 0.192       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.566      |
|    explained_variance   | -0.000527   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.9e+03     |
|    n_updates            | 720         |
|    policy_gradient_loss | -0.0356     |
|    value_loss           | 5.73e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.55e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 74          |
|    time_elapsed         | 7453        |
|    total_timesteps      | 151552      |
| train/                  |             |
|    approx_kl            | 0.043959975 |
|    clip_fraction        | 0.202       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.562      |
|    explained_variance   | 0.00101     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.41e+03    |
|    n_updates            | 730         |
|    policy_gradient_loss | -0.037      |
|    value_loss           | 5.02e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.58e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 75          |
|    time_elapsed         | 7540        |
|    total_timesteps      | 153600      |
| train/                  |             |
|    approx_kl            | 0.040895253 |
|    clip_fraction        | 0.22        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.572      |
|    explained_variance   | -0.000328   |
|    learning_rate        | 0.0003      |
|    loss                 | 3.08e+03    |
|    n_updates            | 740         |
|    policy_gradient_loss | -0.0385     |
|    value_loss           | 5.24e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.62e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 76          |
|    time_elapsed         | 7626        |
|    total_timesteps      | 155648      |
| train/                  |             |
|    approx_kl            | 0.032402493 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.561      |
|    explained_variance   | -0.00341    |
|    learning_rate        | 0.0003      |
|    loss                 | 3.29e+03    |
|    n_updates            | 750         |
|    policy_gradient_loss | -0.0383     |
|    value_loss           | 4.37e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.69e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 77          |
|    time_elapsed         | 7713        |
|    total_timesteps      | 157696      |
| train/                  |             |
|    approx_kl            | 0.026055122 |
|    clip_fraction        | 0.176       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.555      |
|    explained_variance   | -0.00741    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.63e+03    |
|    n_updates            | 760         |
|    policy_gradient_loss | -0.0379     |
|    value_loss           | 4.7e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.75e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 78          |
|    time_elapsed         | 7799        |
|    total_timesteps      | 159744      |
| train/                  |             |
|    approx_kl            | 0.029263932 |
|    clip_fraction        | 0.162       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.544      |
|    explained_variance   | -0.00326    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.37e+03    |
|    n_updates            | 770         |
|    policy_gradient_loss | -0.0344     |
|    value_loss           | 5.21e+03    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1e+03     |
|    ep_rew_mean          | 4.79e+03  |
| time/                   |           |
|    fps                  | 20        |
|    iterations           | 79        |
|    time_elapsed         | 7886      |
|    total_timesteps      | 161792    |
| train/                  |           |
|    approx_kl            | 0.0469561 |
|    clip_fraction        | 0.246     |
|    clip_range           | 0.2       |
|    entropy_loss         | -0.559    |
|    explained_variance   | 0.00383   |
|    learning_rate        | 0.0003    |
|    loss                 | 3.46e+03  |
|    n_updates            | 780       |
|    policy_gradient_loss | -0.0346   |
|    value_loss           | 5.81e+03  |
---------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.81e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 80          |
|    time_elapsed         | 7973        |
|    total_timesteps      | 163840      |
| train/                  |             |
|    approx_kl            | 0.021203477 |
|    clip_fraction        | 0.153       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.549      |
|    explained_variance   | -0.00269    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.18e+03    |
|    n_updates            | 790         |
|    policy_gradient_loss | -0.0314     |
|    value_loss           | 5.32e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.84e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 81          |
|    time_elapsed         | 8060        |
|    total_timesteps      | 165888      |
| train/                  |             |
|    approx_kl            | 0.030240733 |
|    clip_fraction        | 0.172       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.556      |
|    explained_variance   | 0.0137      |
|    learning_rate        | 0.0003      |
|    loss                 | 2.32e+03    |
|    n_updates            | 800         |
|    policy_gradient_loss | -0.0367     |
|    value_loss           | 5.7e+03     |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.87e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 82          |
|    time_elapsed         | 8147        |
|    total_timesteps      | 167936      |
| train/                  |             |
|    approx_kl            | 0.025871197 |
|    clip_fraction        | 0.177       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.526      |
|    explained_variance   | -0.00418    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.86e+03    |
|    n_updates            | 810         |
|    policy_gradient_loss | -0.0341     |
|    value_loss           | 4.75e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.91e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 83          |
|    time_elapsed         | 8234        |
|    total_timesteps      | 169984      |
| train/                  |             |
|    approx_kl            | 0.018853366 |
|    clip_fraction        | 0.145       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.532      |
|    explained_variance   | 0.00204     |
|    learning_rate        | 0.0003      |
|    loss                 | 3.09e+03    |
|    n_updates            | 820         |
|    policy_gradient_loss | -0.0338     |
|    value_loss           | 5.81e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 4.99e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 84          |
|    time_elapsed         | 8320        |
|    total_timesteps      | 172032      |
| train/                  |             |
|    approx_kl            | 0.029501848 |
|    clip_fraction        | 0.159       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.51       |
|    explained_variance   | 0.016       |
|    learning_rate        | 0.0003      |
|    loss                 | 4.59e+03    |
|    n_updates            | 830         |
|    policy_gradient_loss | -0.0333     |
|    value_loss           | 6.63e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 5.07e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 85         |
|    time_elapsed         | 8407       |
|    total_timesteps      | 174080     |
| train/                  |            |
|    approx_kl            | 0.03887765 |
|    clip_fraction        | 0.184      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.46      |
|    explained_variance   | -0.00273   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.58e+03   |
|    n_updates            | 840        |
|    policy_gradient_loss | -0.0301    |
|    value_loss           | 5.59e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.12e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 86          |
|    time_elapsed         | 8495        |
|    total_timesteps      | 176128      |
| train/                  |             |
|    approx_kl            | 0.044928357 |
|    clip_fraction        | 0.196       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.483      |
|    explained_variance   | -0.00639    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.61e+03    |
|    n_updates            | 850         |
|    policy_gradient_loss | -0.0325     |
|    value_loss           | 6.02e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 5.16e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 87         |
|    time_elapsed         | 8582       |
|    total_timesteps      | 178176     |
| train/                  |            |
|    approx_kl            | 0.03844516 |
|    clip_fraction        | 0.203      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.472     |
|    explained_variance   | -3.28e-05  |
|    learning_rate        | 0.0003     |
|    loss                 | 2.23e+03   |
|    n_updates            | 860        |
|    policy_gradient_loss | -0.0329    |
|    value_loss           | 5.38e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.18e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 88          |
|    time_elapsed         | 8671        |
|    total_timesteps      | 180224      |
| train/                  |             |
|    approx_kl            | 0.050182216 |
|    clip_fraction        | 0.19        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.474      |
|    explained_variance   | 0.0062      |
|    learning_rate        | 0.0003      |
|    loss                 | 1.2e+03     |
|    n_updates            | 870         |
|    policy_gradient_loss | -0.0314     |
|    value_loss           | 4.58e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 5.23e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 89         |
|    time_elapsed         | 8761       |
|    total_timesteps      | 182272     |
| train/                  |            |
|    approx_kl            | 0.01859671 |
|    clip_fraction        | 0.137      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.489     |
|    explained_variance   | -0.00232   |
|    learning_rate        | 0.0003     |
|    loss                 | 2.27e+03   |
|    n_updates            | 880        |
|    policy_gradient_loss | -0.0289    |
|    value_loss           | 7.32e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.28e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 90          |
|    time_elapsed         | 8849        |
|    total_timesteps      | 184320      |
| train/                  |             |
|    approx_kl            | 0.013043525 |
|    clip_fraction        | 0.11        |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.457      |
|    explained_variance   | 0.00249     |
|    learning_rate        | 0.0003      |
|    loss                 | 1.77e+03    |
|    n_updates            | 890         |
|    policy_gradient_loss | -0.0292     |
|    value_loss           | 5.32e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.31e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 91          |
|    time_elapsed         | 8937        |
|    total_timesteps      | 186368      |
| train/                  |             |
|    approx_kl            | 0.022828761 |
|    clip_fraction        | 0.125       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.439      |
|    explained_variance   | -0.000889   |
|    learning_rate        | 0.0003      |
|    loss                 | 2.15e+03    |
|    n_updates            | 900         |
|    policy_gradient_loss | -0.029      |
|    value_loss           | 6.38e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.37e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 92          |
|    time_elapsed         | 9024        |
|    total_timesteps      | 188416      |
| train/                  |             |
|    approx_kl            | 0.033615172 |
|    clip_fraction        | 0.144       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.454      |
|    explained_variance   | -0.00444    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.08e+03    |
|    n_updates            | 910         |
|    policy_gradient_loss | -0.0279     |
|    value_loss           | 5.31e+03    |
-----------------------------------------
----------------------------------------
| rollout/                |            |
|    ep_len_mean          | 1e+03      |
|    ep_rew_mean          | 5.41e+03   |
| time/                   |            |
|    fps                  | 20         |
|    iterations           | 93         |
|    time_elapsed         | 9111       |
|    total_timesteps      | 190464     |
| train/                  |            |
|    approx_kl            | 0.04149787 |
|    clip_fraction        | 0.185      |
|    clip_range           | 0.2        |
|    entropy_loss         | -0.443     |
|    explained_variance   | -0.00177   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.87e+03   |
|    n_updates            | 920        |
|    policy_gradient_loss | -0.0292    |
|    value_loss           | 5.09e+03   |
----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.41e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 94          |
|    time_elapsed         | 9198        |
|    total_timesteps      | 192512      |
| train/                  |             |
|    approx_kl            | 0.023820326 |
|    clip_fraction        | 0.142       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.447      |
|    explained_variance   | 0.00116     |
|    learning_rate        | 0.0003      |
|    loss                 | 4.05e+03    |
|    n_updates            | 930         |
|    policy_gradient_loss | -0.0304     |
|    value_loss           | 5.34e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.45e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 95          |
|    time_elapsed         | 9286        |
|    total_timesteps      | 194560      |
| train/                  |             |
|    approx_kl            | 0.011293464 |
|    clip_fraction        | 0.105       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.459      |
|    explained_variance   | -0.0111     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.07e+03    |
|    n_updates            | 940         |
|    policy_gradient_loss | -0.0282     |
|    value_loss           | 5.16e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.48e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 96          |
|    time_elapsed         | 9375        |
|    total_timesteps      | 196608      |
| train/                  |             |
|    approx_kl            | 0.024623223 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.433      |
|    explained_variance   | -0.0358     |
|    learning_rate        | 0.0003      |
|    loss                 | 2.43e+03    |
|    n_updates            | 950         |
|    policy_gradient_loss | -0.0295     |
|    value_loss           | 5.27e+03    |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 1e+03       |
|    ep_rew_mean          | 5.55e+03    |
| time/                   |             |
|    fps                  | 20          |
|    iterations           | 97          |
|    time_elapsed         | 9463        |
|    total_timesteps      | 198656      |
| train/                  |             |
|    approx_kl            | 0.038238317 |
|    clip_fraction        | 0.164       |
|    clip_range           | 0.2         |
|    entropy_loss         | -0.399      |
|    explained_variance   | -0.00544    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.65e+03    |
|    n_updates            | 960         |
|    policy_gradient_loss | -0.0316     |
|    value_loss           | 4.82e+03    |
-----------------------------------------
---------------------------------------
| rollout/                |           |
|    ep_len_mean          | 1e+03     |
|    ep_rew_mean          | 5.59e+03  |
| time/                   |           |
|    fps                  | 21        |
|    iterations           | 98        |
|    time_elapsed         | 9551      |
|    total_timesteps      | 200704    |
| train/                  |           |
|    approx_kl            | 0.0674748 |
|    clip_fraction        | 0.2       |
|    clip_range           | 0.2       |
